mysql> SELECT    TABLE_NAME 表名,   COLUMN_NAME 列名,   DATA_TYPE   字段类型 FROM    information_schema.COLUMNS  WHERE    TABLE_SCHEMA = 'dingyangmall_ry'   ORDER BY    TABLE_NAME, ORDINAL_POSITION;
+--------------------------+-------------------------+--------------+
| 表名                     | 列名                    | 字段类型     |
| qrtz_scheduler_state     | sched_name              | varchar      |
| qrtz_scheduler_state     | instance_name           | varchar      |
| qrtz_scheduler_state     | last_checkin_time       | bigint       |
| qrtz_scheduler_state     | checkin_interval        | bigint       |
| qrtz_simple_triggers     | sched_name              | varchar      |
| qrtz_simple_triggers     | trigger_name            | varchar      |
| qrtz_simple_triggers     | trigger_group           | varchar      |
| qrtz_simple_triggers     | repeat_count            | bigint       |
| qrtz_simple_triggers     | repeat_interval         | bigint       |
| qrtz_simple_triggers     | times_triggered         | bigint       |
| qrtz_simprop_triggers    | sched_name              | varchar      |
| qrtz_simprop_triggers    | trigger_name            | varchar      |
| qrtz_simprop_triggers    | trigger_group           | varchar      |
| qrtz_simprop_triggers    | str_prop_1              | varchar      |
| qrtz_simprop_triggers    | str_prop_2              | varchar      |
| qrtz_simprop_triggers    | str_prop_3              | varchar      |
| qrtz_simprop_triggers    | int_prop_1              | int          |
| qrtz_simprop_triggers    | int_prop_2              | int          |
| qrtz_simprop_triggers    | long_prop_1             | bigint       |
| qrtz_simprop_triggers    | long_prop_2             | bigint       |
| qrtz_simprop_triggers    | dec_prop_1              | decimal      |
| qrtz_simprop_triggers    | dec_prop_2              | decimal      |
| qrtz_simprop_triggers    | bool_prop_1             | varchar      |
| qrtz_simprop_triggers    | bool_prop_2             | varchar      |
| qrtz_triggers            | sched_name              | varchar      |
| qrtz_triggers            | trigger_name            | varchar      |
| qrtz_triggers            | trigger_group           | varchar      |
| qrtz_triggers            | job_name                | varchar      |
| qrtz_triggers            | job_group               | varchar      |
| qrtz_triggers            | description             | varchar      |
| qrtz_triggers            | next_fire_time          | bigint       |
| qrtz_triggers            | prev_fire_time          | bigint       |
| qrtz_triggers            | priority                | int          |
| qrtz_triggers            | trigger_state           | varchar      |
| qrtz_triggers            | trigger_type            | varchar      |
| qrtz_triggers            | start_time              | bigint       |
| qrtz_triggers            | end_time                | bigint       |
| qrtz_triggers            | calendar_name           | varchar      |
| qrtz_triggers            | misfire_instr           | smallint     |
| qrtz_triggers            | job_data                | blob         |
| shopping_cart            | id                      | varchar      |
| shopping_cart            | del_flag                | char         |
| shopping_cart            | create_time             | datetime     |
| shopping_cart            | update_time             | timestamp    |
| shopping_cart            | user_id                 | varchar      |
| shopping_cart            | spu_id                  | varchar      |
| shopping_cart            | quantity                | int          |
| shopping_cart            | spu_name                | varchar      |
| shopping_cart            | add_price               | decimal      |
| shopping_cart            | pic_url                 | varchar      |
| sys_config               | config_id               | int          |
| sys_config               | config_name             | varchar      |
| sys_config               | config_key              | varchar      |
| sys_config               | config_value            | varchar      |
| sys_config               | config_type             | char         |
| sys_config               | create_by               | varchar      |
| sys_config               | create_time             | datetime     |
| sys_config               | update_by               | varchar      |
| sys_config               | update_time             | datetime     |
| sys_config               | remark                  | varchar      |
| sys_dept                 | dept_id                 | bigint       |
| sys_dept                 | parent_id               | bigint       |
| sys_dept                 | ancestors               | varchar      |
| sys_dept                 | dept_name               | varchar      |
| sys_dept                 | order_num               | int          |
| sys_dept                 | leader                  | varchar      |
| sys_dept                 | phone                   | varchar      |
| sys_dept                 | email                   | varchar      |
| sys_dept                 | status                  | char         |
| sys_dept                 | del_flag                | char         |
| sys_dept                 | create_by               | varchar      |
| sys_dept                 | create_time             | datetime     |
| sys_dept                 | update_by               | varchar      |
| sys_dept                 | update_time             | datetime     |
| sys_dict_data            | dict_code               | bigint       |
| sys_dict_data            | dict_sort               | int          |
| sys_dict_data            | dict_label              | varchar      |
| sys_dict_data            | dict_value              | varchar      |
| sys_dict_data            | dict_type               | varchar      |
| sys_dict_data            | css_class               | varchar      |
| sys_dict_data            | list_class              | varchar      |
| sys_dict_data            | is_default              | char         |
| sys_dict_data            | status                  | char         |
| sys_dict_data            | create_by               | varchar      |
| sys_dict_data            | create_time             | datetime     |
| sys_dict_data            | update_by               | varchar      |
| sys_dict_data            | update_time             | datetime     |
| sys_dict_data            | remark                  | varchar      |
| sys_dict_type            | dict_id                 | bigint       |
| sys_dict_type            | dict_name               | varchar      |
| sys_dict_type            | dict_type               | varchar      |
| sys_dict_type            | status                  | char         |
| sys_dict_type            | create_by               | varchar      |
| sys_dict_type            | create_time             | datetime     |
| sys_dict_type            | update_by               | varchar      |
| sys_dict_type            | update_time             | datetime     |
| sys_dict_type            | remark                  | varchar      |
| sys_job                  | job_id                  | bigint       |
| sys_job                  | job_name                | varchar      |
| sys_job                  | job_group               | varchar      |
| sys_job                  | invoke_target           | varchar      |
| sys_job                  | cron_expression         | varchar      |
| sys_job                  | misfire_policy          | varchar      |
| sys_job                  | concurrent              | char         |
| sys_job                  | status                  | char         |
| sys_job                  | create_by               | varchar      |
| sys_job                  | create_time             | datetime     |
| sys_job                  | update_by               | varchar      |
| sys_job                  | update_time             | datetime     |
| sys_job                  | remark                  | varchar      |
| sys_job_log              | job_log_id              | bigint       |
| sys_job_log              | job_name                | varchar      |
| sys_job_log              | job_group               | varchar      |
| sys_job_log              | invoke_target           | varchar      |
| sys_job_log              | job_message             | varchar      |
| sys_job_log              | status                  | char         |
| sys_job_log              | exception_info          | varchar      |
| sys_job_log              | create_time             | datetime     |
| sys_logininfor           | info_id                 | bigint       |
| sys_logininfor           | user_name               | varchar      |
| sys_logininfor           | ipaddr                  | varchar      |
| sys_logininfor           | login_location          | varchar      |
| sys_logininfor           | browser                 | varchar      |
| sys_logininfor           | os                      | varchar      |
| sys_logininfor           | status                  | char         |
| sys_logininfor           | msg                     | varchar      |
| sys_logininfor           | login_time              | datetime     |
| sys_menu                 | menu_id                 | bigint       |
| sys_menu                 | menu_name               | varchar      |
| sys_menu                 | parent_id               | bigint       |
| sys_menu                 | order_num               | int          |
| sys_menu                 | path                    | varchar      |
| sys_menu                 | component               | varchar      |
| sys_menu                 | query                   | varchar      |
| sys_menu                 | route_name              | varchar      |
| sys_menu                 | is_frame                | int          |
| sys_menu                 | is_cache                | int          |
| sys_menu                 | menu_type               | char         |
| sys_menu                 | visible                 | char         |
| sys_menu                 | status                  | char         |
| sys_menu                 | perms                   | varchar      |
| sys_menu                 | icon                    | varchar      |
| sys_menu                 | create_by               | varchar      |
| sys_menu                 | create_time             | datetime     |
| sys_menu                 | update_by               | varchar      |
| sys_menu                 | update_time             | datetime     |
| sys_menu                 | remark                  | varchar      |
| sys_notice               | notice_id               | int          |
| sys_notice               | notice_title            | varchar      |
| sys_notice               | notice_type             | char         |
| sys_notice               | notice_content          | longblob     |
| sys_notice               | status                  | char         |
| sys_notice               | create_by               | varchar      |
| sys_notice               | create_time             | datetime     |
| sys_notice               | update_by               | varchar      |
| sys_notice               | update_time             | datetime     |
| sys_notice               | remark                  | varchar      |
| sys_oper_log             | oper_id                 | bigint       |
| sys_oper_log             | title                   | varchar      |
| sys_oper_log             | business_type           | int          |
| sys_oper_log             | method                  | varchar      |
| sys_oper_log             | request_method          | varchar      |
| sys_oper_log             | operator_type           | int          |
| sys_oper_log             | oper_name               | varchar      |
| sys_oper_log             | dept_name               | varchar      |
| sys_oper_log             | oper_url                | varchar      |
| sys_oper_log             | oper_ip                 | varchar      |
| sys_oper_log             | oper_location           | varchar      |
| sys_oper_log             | oper_param              | varchar      |
| sys_oper_log             | json_result             | varchar      |
| sys_oper_log             | status                  | int          |
| sys_oper_log             | error_msg               | varchar      |
| sys_oper_log             | oper_time               | datetime     |
| sys_oper_log             | cost_time               | bigint       |
| sys_post                 | post_id                 | bigint       |
| sys_post                 | post_code               | varchar      |
| sys_post                 | post_name               | varchar      |
| sys_post                 | post_sort               | int          |
| sys_post                 | status                  | char         |
| sys_post                 | create_by               | varchar      |
| sys_post                 | create_time             | datetime     |
| sys_post                 | update_by               | varchar      |
| sys_post                 | update_time             | datetime     |
| sys_post                 | remark                  | varchar      |
| sys_role                 | role_id                 | bigint       |
| sys_role                 | role_name               | varchar      |
| sys_role                 | role_key                | varchar      |
| sys_role                 | role_sort               | int          |
| sys_role                 | data_scope              | char         |
| sys_role                 | menu_check_strictly     | tinyint      |
| sys_role                 | dept_check_strictly     | tinyint      |
| sys_role                 | status                  | char         |
| sys_role                 | del_flag                | char         |
| sys_role                 | create_by               | varchar      |
| sys_role                 | create_time             | datetime     |
| sys_role                 | update_by               | varchar      |
| sys_role                 | update_time             | datetime     |
| sys_role                 | remark                  | varchar      |
| sys_role_dept            | role_id                 | bigint       |
| sys_role_dept            | dept_id                 | bigint       |
| sys_role_menu            | role_id                 | bigint       |
| sys_role_menu            | menu_id                 | bigint       |
| sys_upload_file          | file_id                 | bigint       |
| sys_upload_file          | file_name               | varchar      |
| sys_upload_file          | original_name           | varchar      |
| sys_upload_file          | content_type            | varchar      |
| sys_upload_file          | file_size               | bigint       |
| sys_upload_file          | content                 | longblob     |
| sys_upload_file          | create_time             | datetime     |
| sys_user                 | user_id                 | bigint       |
| sys_user                 | dept_id                 | bigint       |
| sys_user                 | user_name               | varchar      |
| sys_user                 | nick_name               | varchar      |
| sys_user                 | user_type               | varchar      |
| sys_user                 | dealer_level            | tinyint      |
| sys_user                 | parent_distributor_id   | bigint       |
| sys_user                 | email                   | varchar      |
| sys_user                 | phonenumber             | varchar      |
| sys_user                 | sex                     | char         |
| sys_user                 | avatar                  | varchar      |
| sys_user                 | password                | varchar      |
| sys_user                 | status                  | char         |
| sys_user                 | del_flag                | char         |
| sys_user                 | login_ip                | varchar      |
| sys_user                 | login_date              | datetime     |
| sys_user                 | create_by               | varchar      |
| sys_user                 | create_time             | datetime     |
| sys_user                 | update_by               | varchar      |
| sys_user                 | update_time             | datetime     |
| sys_user                 | remark                  | varchar      |
| sys_user_post            | user_id                 | bigint       |
| sys_user_post            | post_id                 | bigint       |
| sys_user_role            | user_id                 | bigint       |
| sys_user_role            | role_id                 | bigint       |
| tb_banner                | id                      | bigint       |
| tb_banner                | title                   | varchar      |
| tb_banner                | pic_url                 | varchar      |
| tb_banner                | link_url                | varchar      |
| tb_banner                | link_type               | char         |
| tb_banner                | sort                    | int          |
| tb_banner                | status                  | char         |
| tb_banner                | create_time             | datetime     |
| tb_banner                | update_time             | datetime     |
| tb_banner                | del_flag                | char         |
| tb_coupon_info           | id                      | bigint       |
| tb_coupon_info           | coupon_code             | varchar      |
| tb_coupon_info           | user_id                 | bigint       |
| tb_coupon_info           | goods_id                | varchar      |
| tb_coupon_info           | goods_name              | varchar      |
| tb_coupon_info           | goods_pic               | varchar      |
| tb_coupon_info           | integral_price          | int          |
| tb_coupon_info           | validity_start          | datetime     |
| tb_coupon_info           | validity_end            | datetime     |
| tb_coupon_info           | coupon_status           | tinyint      |
| tb_coupon_info           | verify_time             | datetime     |
| tb_coupon_info           | verify_dealer_id        | bigint       |
| tb_coupon_info           | verify_dealer_name      | varchar      |
| tb_coupon_info           | create_time             | datetime     |
| tb_coupon_info           | update_time             | datetime     |
| tb_coupon_info           | create_by               | varchar      |
| tb_integral_flow         | id                      | bigint       |
| tb_integral_flow         | user_id                 | bigint       |
| tb_integral_flow         | oper_type               | tinyint      |
| tb_integral_flow         | integral_num            | int          |
| tb_integral_flow         | source_user_id          | bigint       |
| tb_integral_flow         | business_id             | varchar      |
| tb_integral_flow         | remark                  | varchar      |
| tb_integral_flow         | oper_time               | datetime     |
| tb_integral_flow         | create_time             | datetime     |
| tb_integral_flow         | create_by               | varchar      |
| tb_integral_flow         | del_flag                | tinyint      |
| tb_integral_rule         | id                      | bigint       |
| tb_integral_rule         | register_integral       | int          |
| tb_integral_rule         | first_recharge_integral | int          |
| tb_integral_rule         | sign_integral           | int          |
| tb_integral_rule         | recommend_integral      | int          |
| tb_integral_rule         | red_packet_switch       | tinyint      |
| tb_integral_rule         | update_by               | varchar      |
| tb_integral_rule         | create_time             | datetime     |
| tb_integral_rule         | update_time             | datetime     |
| tb_integral_rule         | del_flag                | tinyint      |
| tb_lottery_config        | id                      | bigint       |
| tb_lottery_config        | status                  | char         |
| tb_lottery_config        | cost_points             | int          |
| tb_lottery_config        | daily_limit             | int          |
| tb_lottery_config        | no_prize_probability    | double       |
| tb_lottery_config        | create_time             | datetime     |
| tb_lottery_config        | update_time             | datetime     |
| tb_lottery_config        | create_by               | varchar      |
| tb_lottery_config        | update_by               | varchar      |
| tb_lottery_prize         | id                      | bigint       |
| tb_lottery_prize         | config_id               | bigint       |
| tb_lottery_prize         | prize_type              | char         |
| tb_lottery_prize         | goods_id                | varchar      |
| tb_lottery_prize         | point_amount            | int          |
| tb_lottery_prize         | prize_name              | varchar      |
| tb_lottery_prize         | prize_pic               | varchar      |
| tb_lottery_prize         | probability             | double       |
| tb_lottery_prize         | sort_order              | int          |
| tb_lottery_prize         | create_time             | datetime     |
| tb_lottery_record        | id                      | bigint       |
| tb_lottery_record        | user_id                 | bigint       |
| tb_lottery_record        | config_id               | bigint       |
| tb_lottery_record        | is_win                  | char         |
| tb_lottery_record        | prize_id                | bigint       |
| tb_lottery_record        | prize_name              | varchar      |
| tb_lottery_record        | prize_type              | char         |
| tb_lottery_record        | cost_points             | int          |
| tb_lottery_record        | grant_status            | char         |
| tb_lottery_record        | business_id             | varchar      |
| tb_lottery_record        | create_time             | datetime     |
| tb_user_address          | id                      | bigint       |
| tb_user_address          | user_id                 | bigint       |
| tb_user_address          | receiver_name           | varchar      |
| tb_user_address          | receiver_mobile         | varchar      |
| tb_user_address          | province                | varchar      |
| tb_user_address          | city                    | varchar      |
| tb_user_address          | area                    | varchar      |
| tb_user_address          | detail_address          | varchar      |
| tb_user_address          | is_default              | tinyint      |
| tb_user_address          | create_time             | datetime     |
| tb_user_address          | update_time             | datetime     |
| tb_user_address          | create_by               | varchar      |
| tb_user_address          | del_flag                | tinyint      |
| tb_user_info             | id                      | bigint       |
| tb_user_info             | mobile                  | varchar      |
| tb_user_info             | password                | varchar      |
| tb_user_info             | user_name               | varchar      |
| tb_user_info             | role_type               | tinyint      |
| tb_user_info             | dealer_level            | tinyint      |
| tb_user_info             | integral_balance        | bigint       |
| tb_user_info             | head_img                | varchar      |
| tb_user_info             | contact_person          | varchar      |
| tb_user_info             | status                  | tinyint      |
| tb_user_info             | last_login_time         | datetime     |
| tb_user_info             | recommend_mobile        | varchar      |
| tb_user_info             | create_time             | datetime     |
| tb_user_info             | update_time             | datetime     |
| tb_user_info             | create_by               | varchar      |
| tb_user_info             | del_flag                | tinyint      |
| ums_member               | id                      | bigint       |
| ums_member               | nickname                | varchar      |
| ums_member               | real_name               | varchar      |
| ums_member               | phone                   | varchar      |
| ums_member               | identity_type           | varchar      |
| ums_member               | member_code             | varchar      |
| ums_member               | points                  | int          |
| ums_member               | balance                 | decimal      |
| ums_member               | level                   | int          |
| ums_member               | avatar                  | varchar      |
| ums_member               | password                | varchar      |
| ums_member               | create_time             | datetime     |
| ums_member               | update_time             | datetime     |
| ums_member               | del_flag                | char         |
| ums_member               | need_change_password    | char         |
| user_address             | id                      | varchar      |
| user_address             | del_flag                | char         |
| user_address             | create_time             | datetime     |
| user_address             | update_time             | timestamp    |
| user_address             | user_id                 | varchar      |
| user_address             | user_name               | varchar      |
| user_address             | postal_code             | varchar      |
| user_address             | province_name           | varchar      |
| user_address             | city_name               | varchar      |
| user_address             | county_name             | varchar      |
| user_address             | detail_info             | varchar      |
| user_address             | tel_num                 | varchar      |
| user_address             | is_default              | char         |
| wx_auto_reply            | id                      | varchar      |
| wx_auto_reply            | create_id               | varchar      |
| wx_auto_reply            | create_time             | datetime     |
| wx_auto_reply            | update_id               | varchar      |
| wx_auto_reply            | update_time             | datetime     |
| wx_auto_reply            | remark                  | varchar      |
| wx_auto_reply            | del_flag                | char         |
| wx_auto_reply            | type                    | char         |
| wx_auto_reply            | req_key                 | varchar      |
| wx_auto_reply            | req_type                | char         |
| wx_auto_reply            | rep_type                | char         |
| wx_auto_reply            | rep_mate                | char         |
| wx_auto_reply            | rep_content             | text         |
| wx_auto_reply            | rep_media_id            | varchar      |
| wx_auto_reply            | rep_name                | varchar      |
| wx_auto_reply            | rep_desc                | varchar      |
| wx_auto_reply            | rep_url                 | varchar      |
| wx_auto_reply            | rep_hq_url              | varchar      |
| wx_auto_reply            | rep_thumb_media_id      | varchar      |
| wx_auto_reply            | rep_thumb_url           | varchar      |
| wx_auto_reply            | content                 | mediumtext   |
| wx_ma_user               | id                      | varchar      |
| wx_ma_user               | open_id                 | varchar      |
| wx_ma_user               | union_id                | varchar      |
| wx_ma_user               | nick_name               | varchar      |
| wx_ma_user               | headimg_url             | varchar      |
| wx_ma_user               | phone                   | varchar      |
| wx_ma_user               | app_type                | char         |
| wx_ma_user               | del_flag                | char         |
| wx_ma_user               | create_time             | datetime     |
| wx_ma_user               | update_time             | datetime     |
| wx_menu                  | id                      | varchar      |
| wx_menu                  | del_flag                | char         |
| wx_menu                  | create_time             | datetime     |
| wx_menu                  | update_time             | datetime     |
| wx_menu                  | sort                    | int          |
| wx_menu                  | parent_id               | varchar      |
| wx_menu                  | type                    | char         |
| wx_menu                  | name                    | varchar      |
| wx_menu                  | url                     | varchar      |
| wx_menu                  | ma_app_id               | varchar      |
| wx_menu                  | ma_page_path            | varchar      |
| wx_menu                  | rep_type                | char         |
| wx_menu                  | rep_content             | text         |
| wx_menu                  | rep_media_id            | varchar      |
| wx_menu                  | rep_name                | varchar      |
| wx_menu                  | rep_desc                | varchar      |
| wx_menu                  | rep_url                 | varchar      |
| wx_menu                  | rep_hq_url              | varchar      |
| wx_menu                  | rep_thumb_media_id      | varchar      |
| wx_menu                  | rep_thumb_url           | varchar      |
| wx_menu                  | content                 | mediumtext   |
| wx_msg                   | id                      | varchar      |
| wx_msg                   | create_id               | varchar      |
| wx_msg                   | create_time             | datetime     |
| wx_msg                   | update_id               | varchar      |
| wx_msg                   | update_time             | datetime     |
| wx_msg                   | remark                  | varchar      |
| wx_msg                   | del_flag                | char         |
| wx_msg                   | app_name                | varchar      |
| wx_msg                   | app_logo                | varchar      |
| wx_msg                   | wx_user_id              | varchar      |
| wx_msg                   | nick_name               | varchar      |
| wx_msg                   | headimg_url             | varchar      |
| wx_msg                   | type                    | char         |
| wx_msg                   | rep_type                | char         |
| wx_msg                   | rep_event               | char         |
| wx_msg                   | rep_content             | text         |
| wx_msg                   | rep_media_id            | varchar      |
| wx_msg                   | rep_name                | varchar      |
| wx_msg                   | rep_desc                | varchar      |
| wx_msg                   | rep_url                 | varchar      |
| wx_msg                   | rep_hq_url              | varchar      |
| wx_msg                   | content                 | mediumtext   |
| wx_msg                   | rep_thumb_media_id      | varchar      |
| wx_msg                   | rep_thumb_url           | varchar      |
| wx_msg                   | rep_location_x          | double       |
| wx_msg                   | rep_location_y          | double       |
| wx_msg                   | rep_scale               | double       |
| wx_msg                   | read_flag               | char         |
| wx_user                  | id                      | varchar      |
| wx_user                  | create_id               | varchar      |
| wx_user                  | create_time             | datetime     |
| wx_user                  | update_id               | varchar      |
| wx_user                  | update_time             | datetime     |
| wx_user                  | remark                  | varchar      |
| wx_user                  | del_flag                | char         |
| wx_user                  | app_type                | char         |
| wx_user                  | subscribe               | char         |
| wx_user                  | subscribe_scene         | varchar      |
| wx_user                  | subscribe_time          | datetime     |
| wx_user                  | subscribe_num           | int          |
| wx_user                  | cancel_subscribe_time   | datetime     |
| wx_user                  | open_id                 | varchar      |
| wx_user                  | nick_name               | varchar      |
| wx_user                  | sex                     | char         |
| wx_user                  | city                    | varchar      |
| wx_user                  | country                 | varchar      |
| wx_user                  | province                | varchar      |
| wx_user                  | phone                   | varchar      |
| wx_user                  | language                | varchar      |
| wx_user                  | headimg_url             | varchar      |
| wx_user                  | union_id                | varchar      |
| wx_user                  | group_id                | varchar      |
| wx_user                  | tagid_list              | varchar      |
| wx_user                  | qr_scene_str            | varchar      |
| wx_user                  | latitude                | double       |
| wx_user                  | longitude               | double       |
| wx_user                  | precision               | double       |
| wx_user                  | session_key             | varchar      |
+--------------------------+-------------------------+--------------+
642 rows in set (0.15 sec)
